Survey Date,Reef,Latitide,Longitude,Habitat,Full_Genet_Name,TagID,Depth,Status,Proportion_Live,Bleaching_Rank,Length,Width,Height,Snails
5/6/2015,Pickles Reef,24.98575,-80.41558,Offshore,Conch Reef 1,PI5-119-W,14,OK,1.00,0,14.50,5.00,5.50,0
5/6/2015,Pickles Reef,24.98573,-80.41569,Offshore,Snapper Ledge,PI6-123-B,14,OK,1.00,0,10.00,5.00,3.00,0
5/6/2015,Pickles Reef,24.98573,-80.41569,Offshore,Conch Reef 2,PI6-122-Y,14,OK,1.00,0,8.00,5.50,10.00,0
5/6/2015,Pickles Reef,24.98573,-80.41569,Offshore,Conch Reef 1,PI6-122-W,14,OK,1.00,0,8.00,7.50,7.00,0
5/6/2015,Pickles Reef,24.98573,-80.41569,Offshore,Horseshoe Reef,PI6-122-P,14,OK,1.00,0,9.50,5.50,2.50,0
5/6/2015,Pickles Reef,24.98573,-80.41569,Offshore,Snapper Ledge,PI6-122-B,14,OK,1.00,0,10.00,4.00,4.50,0
5/6/2015,Pickles Reef,24.98573,-80.41569,Offshore,Conch Reef 2,PI6-121-Y,15,OK,1.00,0,7.50,6.00,3.50,0
5/6/2015,Pickles Reef,24.98573,-80.41569,Offshore,Conch Reef 1,PI6-121-W,15,OK,1.00,0,10.00,4.00,3.50,0
5/6/2015,Pickles Reef,24.98573,-80.41569,Offshore,Horseshoe Reef,PI6-121-P,14,OK,1.00,0,9.50,3.50,1.50,0
5/6/2015,Pickles Reef,24.98573,-80.41569,Offshore,Snapper Ledge,PI6-121-B,15,OK,1.00,0,9.00,3.50,4.00,0
5/6/2015,Pickles Reef,24.98575,-80.41558,Offshore,Conch Reef 2,PI5-120-Y,14,OK,1.00,0,14.00,8.00,4.00,0
5/6/2015,Pickles Reef,24.98575,-80.41558,Offshore,Conch Reef 1,PI5-120-W,14,OK,1.00,0,8.50,5.00,3.00,0
5/6/2015,Pickles Reef,24.98575,-80.41558,Offshore,Horseshoe Reef,PI5-120-P,14,OK,1.00,0,9.00,6.00,4.00,0
5/6/2015,Pickles Reef,24.98573,-80.41569,Offshore,Conch Reef 2,PI6-130-Y,13,OK,1.00,0,10.50,7.00,6.50,0
5/6/2015,Pickles Reef,24.98575,-80.41558,Offshore,Conch Reef 2,PI5-119-Y,15,OK,1.00,0,11.50,4.50,4.50,0
5/6/2015,Pickles Reef,24.98573,-80.41569,Offshore,Conch Reef 2,PI6-123-Y,14,OK,1.00,0,7.50,6.00,6.00,0
5/6/2015,Pickles Reef,24.98575,-80.41558,Offshore,Horseshoe Reef,PI5-119-P,15,OK,1.00,0,9.00,5.00,2.50,0
5/6/2015,Pickles Reef,24.98575,-80.41558,Offshore,Snapper Ledge,PI5-119-B,14,OK,1.00,0,7.50,4.50,3.50,0
5/6/2015,Pickles Reef,24.98575,-80.41558,Offshore,Conch Reef 2,PI5-118-Y,15,OK,1.00,0,11.00,8.00,6.00,0
5/6/2015,Pickles Reef,24.98575,-80.41558,Offshore,Conch Reef 1,PI5-118-W,15,OK,1.00,0,9.50,6.50,5.00,0
5/6/2015,Pickles Reef,24.98575,-80.41558,Offshore,Horseshoe Reef,PI5-118-P,15,OK,1.00,0,9.00,6.00,3.00,0
5/6/2015,Pickles Reef,24.98575,-80.41558,Offshore,Snapper Ledge,PI5-118-B,15,OK,1.00,0,7.50,4.00,1.50,0
5/6/2015,Pickles Reef,24.98575,-80.41558,Offshore,Conch Reef 2,PI5-117-Y,15,OK,1.00,0,14.00,6.50,5.00,0
5/6/2015,Pickles Reef,24.98575,-80.41558,Offshore,Conch Reef 1,PI5-117-W,15,OK,1.00,0,10.00,5.00,6.50,0
5/6/2015,Pickles Reef,24.98575,-80.41558,Offshore,Horseshoe Reef,PI5-117-P,15,OK,1.00,0,10.00,6.50,3.50,0
5/6/2015,Pickles Reef,24.98575,-80.41558,Offshore,Snapper Ledge,PI5-117-B,15,OK,1.00,0,9.50,4.00,1.50,0
