"study","size_class","n_intervals","n_lesioned","fraction_lesioned"
"NOAA_survey","SC3",2,1,0.5
"NOAA_survey","SC4",956,237,0.247907949790795
"NOAA_survey","SC5",1286,252,0.195956454121306
"mendoza_quiroz_et_al_2023","SC4",4,0,0
"neely_et_al_2022","SC3",1,0,0
"neely_et_al_2022","SC4",669,88,0.131539611360239
"neely_et_al_2022","SC5",359,34,0.0947075208913649
