file_name,file_role,description,required_columns,key_columns,study_column,region_column,year_column,generated_by
apal_surv_ind.csv,canonical_input,Individual-level survival observations,study;region;location;survey_yr;coral_id;size_cm2;size_live_cm2;survived;fragment;time_interval_yr,study;coral_id;survey_yr;location,study,region,survey_yr,external_standardization
apal_growth_ind.csv,canonical_input,Individual-level growth observations,study;region;location;survey_yr;coral_id;size_cm2;size_live_cm2;growth_cm2_yr;time_interval_yr;fragment,study;coral_id;survey_yr;location,study,region,survey_yr,external_standardization
apal_surv_summ.csv,canonical_input,Summary-level survival observations,study;region;survey_yr;prop_survived;n_initial;time_interval_yr,study;region;survey_yr;size_cm2_mean,study,region,survey_yr,external_standardization
apal_growth_summ.csv,canonical_input,Summary-level growth observations,study;region;survey_yr;size_cm2_mean;growth_cm2_yr_mean;time_interval_yr,study;region;survey_yr;size_cm2_mean,study,region,survey_yr,external_standardization
apal_fragmentation.csv,canonical_input,Fragmentation inputs used in matrix parameterization,study;region;survey_yr;time_interval_yr;F4_SC1;F4_SC2;F4_SC3;F4_SC4;F5_SC1;F5_SC2;F5_SC3;F5_SC4;F5_SC5,study;region;survey_yr,study,region,survey_yr,external_standardization
apal_surv_lab_short.csv,canonical_input,Short-term larval and settler survival table,study;region;spawn_yr;prop_survived;n_initial,study;region;spawn_yr;treatment_1,study,region,spawn_yr,external_standardization
apal_disturbance_stressor_timeline.csv,curated_support,Curated disturbance and chronic-stressor timeline,Event_Name;Event_Type;Region;Start_Year;End_Year;Duration;Intensity_Metric;Intensity_Value,Event_Name;Region;Start_Year,,Region,Start_Year,manual_curation
caribbean_disturbance_events.csv,curated_support,Legacy Caribbean disturbance event table,region;year;event_type;event_name;severity,region;year;event_type;event_name,,region,year,manual_curation
ibtracs_storm_exposure.csv,generated_support,Storm exposure support table joined from IBTrACS,storm_name;region;year,storm_name;region;year,,region,year,33_hurricane_exposure.R
literature_disturbance_evidence.csv,generated_support,Literature disturbance evidence with scope flags,Paper_Title;Region;Year;Event_Type;analysis_include,Paper_Title;Region;Year;Event_Type,,Region,Year,35_curate_literature_scope.R
literature_disturbance_evidence_analysis.csv,generated_support,Analysis subset of disturbance evidence,Paper_Title;Region;Year;Event_Type,Paper_Title;Region;Year;Event_Type,,Region,Year,35_curate_literature_scope.R
apal_life_history_parameters.csv,generated_support,Literature life-history parameters with scope flags,Category;Sub_Category;Region;Value;analysis_include,Category;Sub_Category;Region;Source,,Region,,35_curate_literature_scope.R
apal_life_history_parameters_analysis.csv,generated_support,Analysis subset of life-history parameters,Category;Sub_Category;Region;Value,Category;Sub_Category;Region;Source,,Region,,35_curate_literature_scope.R
restoration_subtype_mapping.csv,generated_support,Study-level restoration subtype mapping,study;restoration_subtype;subtype_label,study,study,,,39_restoration_subtype_sensitivity.R
