storm_sid,storm_name,year,region,lat_site,lon_site,closest_distance_km,closest_date,category_at_closest,usa_sshs_numeric,max_wind_kt,direct_hit_50km
1979163N17279,UNNAMED,1979,Florida Keys Upper,25.1,-80.3,130.90254774413893,1979-06-14T18:00:00Z,Tropical Depression,-1,30,FALSE
1979197N13314,CLAUDETTE,1979,British Virgin Islands,18.5,-64.6,22.238985328911777,1979-07-18T03:00:00Z,Tropical Depression,-1,33,TRUE
1979197N13314,CLAUDETTE,1979,Cuba,23,-82,162.3726128224589,1979-07-21T09:00:00Z,Tropical Depression,-1,28,FALSE
1979197N13314,CLAUDETTE,1979,Dominican Republic,18.4,-68.8,30.64881109787798,1979-07-18T21:00:00Z,Tropical Depression,-1,23,TRUE
1979197N13314,CLAUDETTE,1979,Jamaica,18.5,-77,115.58164100590744,1979-07-20T12:00:00Z,Tropical Depression,-1,20,FALSE
1979197N13314,CLAUDETTE,1979,Navassa,18.4,-75,94.39468563993766,1979-07-20T06:00:00Z,Tropical Depression,-1,20,FALSE
1979197N13314,CLAUDETTE,1979,Puerto Rico,18,-67,44.4779706578232,1979-07-18T12:00:00Z,Tropical Depression,-1,30,TRUE
1979197N13314,CLAUDETTE,1979,St. Croix,17.7,-64.8,69.98922624301888,1979-07-18T03:00:00Z,Tropical Depression,-1,33,FALSE
1979197N13314,CLAUDETTE,1979,US Virgin Islands,17.8,-64.7,56.59372529086333,1979-07-18T03:00:00Z,Tropical Depression,-1,33,FALSE
1979197N13314,CLAUDETTE,1979,Virgin Gorda,18.5,-64.4,30.657265056369116,1979-07-18T03:00:00Z,Tropical Depression,-1,33,TRUE
1979238N12324,DAVID,1979,Bahamas,25,-77,112.22753974984963,1979-09-02T21:00:00Z,Category 1,1,78,FALSE
1979238N12324,DAVID,1979,Dominican Republic,18.4,-68.8,110.15558713135304,1979-08-31T18:00:00Z,Category 5,5,150,FALSE
1979238N12324,DAVID,1979,Florida Keys Upper,25.1,-80.3,119.26439394696646,1979-09-03T09:00:00Z,Category 2,2,83,FALSE
1979238N12324,DAVID,1979,Navassa,18.4,-75,198.90734343336266,1979-09-01T12:00:00Z,Category 1,1,65,FALSE
1979238N12324,DAVID,1979,Puerto Rico,18,-67,137.17812233383617,1979-08-31T00:00:00Z,Category 5,5,145,FALSE
1979238N12324,DAVID,1979,St. Croix,17.7,-64.8,161.37880382111933,1979-08-30T12:00:00Z,Category 5,5,145,FALSE
1979238N12324,DAVID,1979,US Virgin Islands,17.8,-64.7,175.05665190183583,1979-08-30T12:00:00Z,Category 5,5,145,FALSE
1979241N11335,FREDERIC,1979,British Virgin Islands,18.5,-64.6,49.235143635628525,1979-09-04T06:00:00Z,Tropical Storm,0,45,TRUE
1979241N11335,FREDERIC,1979,Cuba,23,-82,121.0681542441823,1979-09-09T21:00:00Z,Tropical Storm,0,53,FALSE
1979241N11335,FREDERIC,1979,Dominican Republic,18.4,-68.8,85.11077706826217,1979-09-05T03:00:00Z,Tropical Storm,0,45,FALSE
1979241N11335,FREDERIC,1979,Dry Tortugas,24.6,-82.9,176.2308106651085,1979-09-11T06:00:00Z,Category 1,1,80,FALSE
1979241N11335,FREDERIC,1979,Navassa,18.4,-75,196.18275468426347,1979-09-07T00:00:00Z,Tropical Depression,-1,30,FALSE
1979241N11335,FREDERIC,1979,Puerto Rico,18,-67,23.89003837990909,1979-09-04T18:00:00Z,Tropical Storm,0,45,TRUE
1979241N11335,FREDERIC,1979,St. Croix,17.7,-64.8,44.477970657823555,1979-09-04T06:00:00Z,Tropical Storm,0,45,TRUE
1979241N11335,FREDERIC,1979,US Virgin Islands,17.8,-64.7,34.99553272153298,1979-09-04T06:00:00Z,Tropical Storm,0,45,TRUE
1979241N11335,FREDERIC,1979,Virgin Gorda,18.5,-64.4,45.71369877785114,1979-09-04T03:00:00Z,Tropical Storm,0,48,TRUE
1979258N20273,HENRI,1979,Mexican Caribbean,20.5,-87.3,56.6574866294062,1979-09-15T00:00:00Z,Tropical Depression,-1,25,FALSE
1979286N17273,UNNAMED,1979,Mexican Caribbean,20.5,-87.3,145.62803968191457,1979-10-19T12:00:00Z,Tropical Depression,-1,25,FALSE
1980204N23287,UNNAMED,1980,Bahamas,25,-77,143.52340026097443,1980-07-22T15:00:00Z,Tropical Depression,-1,28,FALSE
1980214N11330,ALLEN,1980,Jamaica,18.5,-77,24.609684964003986,1980-08-06T09:00:00Z,Category 4,4,115,TRUE
1980214N11330,ALLEN,1980,Mexican Caribbean,20.5,-87.3,167.11401384185496,1980-08-07T21:00:00Z,Category 5,5,160,FALSE
1980214N11330,ALLEN,1980,Navassa,18.4,-75,39.482345779137006,1980-08-06T03:00:00Z,Category 4,4,128,TRUE
1980318N13280,UNNAMED,1980,Cuba,23,-82,82.66582212391255,1980-11-16T12:00:00Z,Tropical Depression,-1,25,FALSE
1980318N13280,UNNAMED,1980,Dry Tortugas,24.6,-82.9,24.432610288277246,1980-11-17T00:00:00Z,Tropical Depression,-1,30,TRUE
1980318N13280,UNNAMED,1980,Florida Keys Lower,24.5,-81.4,155.57266468375664,1980-11-16T21:00:00Z,Tropical Depression,-1,30,FALSE
1981097N21299,UNNAMED,1981,British Virgin Islands,18.5,-64.6,84.29508450972502,1981-04-07T12:00:00Z,Tropical Depression,-1,20,FALSE
1981097N21299,UNNAMED,1981,St. Croix,17.7,-64.8,91.0077393255768,1981-04-07T12:00:00Z,Tropical Depression,-1,20,FALSE
1981097N21299,UNNAMED,1981,US Virgin Islands,17.8,-64.7,77.33521395003851,1981-04-07T12:00:00Z,Tropical Depression,-1,20,FALSE
1981097N21299,UNNAMED,1981,Virgin Gorda,18.5,-64.4,69.82362122222123,1981-04-07T12:00:00Z,Tropical Depression,-1,20,FALSE
1981183N24281,UNNAMED,1981,Florida Keys Lower,24.5,-81.4,151.91148718640486,1981-07-02T12:00:00Z,Tropical Depression,-1,25,FALSE
1981183N24281,UNNAMED,1981,Florida Keys Upper,25.1,-80.3,32.20147713913353,1981-07-02T12:00:00Z,Tropical Depression,-1,25,TRUE
1981219N11334,DENNIS,1981,Cuba,23,-82,81.8842741726997,1981-08-16T06:00:00Z,Tropical Storm,0,35,FALSE
1981219N11334,DENNIS,1981,Dry Tortugas,24.6,-82.9,158.27203203168295,1981-08-16T15:00:00Z,Tropical Storm,0,35,FALSE
1981219N11334,DENNIS,1981,Florida Keys Lower,24.5,-81.4,10.118307455598547,1981-08-16T18:00:00Z,Tropical Storm,0,35,TRUE
1981219N11334,DENNIS,1981,Florida Keys Upper,25.1,-80.3,91.26781912534477,1981-08-17T06:00:00Z,Tropical Storm,0,35,FALSE
1981219N11334,DENNIS,1981,Jamaica,18.5,-77,103.4689588248751,1981-08-14T09:00:00Z,Miscellaneous,-3,15,FALSE
1981219N11334,DENNIS,1981,Navassa,18.4,-75,192.76089790283302,1981-08-14T00:00:00Z,Miscellaneous,-3,15,FALSE
1981247N16300,FLOYD,1981,British Virgin Islands,18.5,-64.6,83.9947727207463,1981-09-04T21:00:00Z,Tropical Storm,0,40,FALSE
1981247N16300,FLOYD,1981,St. Croix,17.7,-64.8,167.40411452266056,1981-09-04T18:00:00Z,Tropical Storm,0,35,FALSE
1981247N16300,FLOYD,1981,US Virgin Islands,17.8,-64.7,152.50971601899792,1981-09-04T18:00:00Z,Tropical Storm,0,35,FALSE
1981247N16300,FLOYD,1981,Virgin Gorda,18.5,-64.4,69.74918215338107,1981-09-04T18:00:00Z,Tropical Storm,0,35,FALSE
1981250N15306,GERT,1981,British Virgin Islands,18.5,-64.6,114.90728092684375,1981-09-08T18:00:00Z,Tropical Storm,0,50,FALSE
1981250N15306,GERT,1981,Dominican Republic,18.4,-68.8,143.4151677699841,1981-09-09T06:00:00Z,Tropical Storm,0,40,FALSE
1981250N15306,GERT,1981,Puerto Rico,18,-67,100.62976071907391,1981-09-09T00:00:00Z,Tropical Storm,0,45,FALSE
1981250N15306,GERT,1981,St. Croix,17.7,-64.8,45.72474267705596,1981-09-08T15:00:00Z,Tropical Storm,0,50,TRUE
1981250N15306,GERT,1981,US Virgin Islands,17.8,-64.7,55.597463322279445,1981-09-08T15:00:00Z,Tropical Storm,0,50,FALSE
1981250N15306,GERT,1981,Virgin Gorda,18.5,-64.4,131.23578665505974,1981-09-08T18:00:00Z,Tropical Storm,0,50,FALSE
1981269N08322,UNNAMED,1981,British Virgin Islands,18.5,-64.6,68.9319275984863,1981-10-02T00:00:00Z,Tropical Depression,-1,30,FALSE
1981269N08322,UNNAMED,1981,St. Croix,17.7,-64.8,138.58004633778924,1981-10-01T21:00:00Z,Tropical Depression,-1,30,FALSE
1981269N08322,UNNAMED,1981,US Virgin Islands,17.8,-64.7,124.54061212137053,1981-10-01T21:00:00Z,Tropical Depression,-1,30,FALSE
1981269N08322,UNNAMED,1981,Virgin Gorda,18.5,-64.4,54.55901178886367,1981-10-02T00:00:00Z,Tropical Depression,-1,30,FALSE
1982154N22273,ALBERTO,1982,Cuba,23,-82,197.4406751147001,1982-06-03T18:00:00Z,Category 1,1,75,FALSE
1982154N22273,ALBERTO,1982,Dry Tortugas,24.6,-82.9,51.77939418848444,1982-06-03T21:00:00Z,Category 1,1,70,FALSE
1982154N22273,ALBERTO,1982,Florida Keys Lower,24.5,-81.4,164.28085164988548,1982-06-06T12:00:00Z,Tropical Depression,-1,20,FALSE
1982154N22273,ALBERTO,1982,Mexican Caribbean,20.5,-87.3,135.03726543482477,1982-06-02T12:00:00Z,Tropical Depression,-1,20,FALSE
1982241N14338,BERYL,1982,British Virgin Islands,18.5,-64.6,197.07656545907582,1982-09-06T12:00:00Z,Tropical Depression,-1,25,FALSE
1982241N14338,BERYL,1982,Virgin Gorda,18.5,-64.4,186.74091675861135,1982-09-06T12:00:00Z,Tropical Depression,-1,25,FALSE
1982257N20291,DEBBY,1982,Dominican Republic,18.4,-68.8,172.17286697494228,1982-09-13T12:00:00Z,Tropical Depression,-1,30,FALSE
1983209N12333,UNNAMED,1983,British Virgin Islands,18.5,-64.6,161.5157380066923,1983-08-02T12:00:00Z,Tropical Depression,-1,20,FALSE
1983209N12333,UNNAMED,1983,Virgin Gorda,18.5,-64.4,140.96621580937403,1983-08-02T12:00:00Z,Tropical Depression,-1,20,FALSE
1983236N26284,BARRY,1983,Bahamas,25,-77,149.78833966413498,1983-08-23T18:00:00Z,Tropical Depression,-1,25,FALSE
1984270N23287,ISIDORE,1984,Bahamas,25,-77,33.358477993367664,1984-09-26T12:00:00Z,Tropical Storm,0,40,TRUE
1984270N23287,ISIDORE,1984,Florida Keys Upper,25.1,-80.3,137.11237728194095,1984-09-27T09:00:00Z,Tropical Storm,0,50,FALSE
1984311N15291,KLAUS,1984,British Virgin Islands,18.5,-64.6,53.747235978003225,1984-11-07T15:00:00Z,Tropical Storm,0,55,FALSE
1984311N15291,KLAUS,1984,Puerto Rico,18,-67,107.85524383504274,1984-11-07T00:00:00Z,Tropical Storm,0,40,FALSE
1984311N15291,KLAUS,1984,St. Croix,17.7,-64.8,98.49094422473618,1984-11-07T12:00:00Z,Tropical Storm,0,50,FALSE
1984311N15291,KLAUS,1984,US Virgin Islands,17.8,-64.7,94.07230004376147,1984-11-07T12:00:00Z,Tropical Storm,0,50,FALSE
1984311N15291,KLAUS,1984,Virgin Gorda,18.5,-64.4,71.47541501896396,1984-11-07T15:00:00Z,Tropical Storm,0,55,FALSE
1984329N27281,UNNAMED,1984,Bahamas,25,-77,150.770332671557,1984-11-24T09:00:00Z,Tropical Depression,-1,25,FALSE
1984329N27281,UNNAMED,1984,Florida Keys Upper,25.1,-80.3,175.0648131466166,1984-11-23T12:00:00Z,Tropical Depression,-1,20,FALSE
